"Time","X","Y","Z"
2025-12-17 20:46:09,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:11,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:13,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:15,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:17,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:19,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:21,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:23,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:25,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:27,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:29,10 rpm,0 rpm,0 rpm
2025-12-17 20:46:35,490 rpm,-108 rpm,109 rpm
2025-12-17 20:46:37,653 rpm,-263 rpm,133 rpm
2025-12-17 20:46:43,302 rpm,-145 rpm,184 rpm
2025-12-17 20:46:45,139 rpm,-144 rpm,184 rpm
2025-12-17 20:46:47,-31.5 rpm,-185 rpm,185 rpm
2025-12-17 20:46:51,-268 rpm,-243 rpm,49.8 rpm
2025-12-17 20:46:53,-123 rpm,-241 rpm,20.3 rpm
2025-12-17 20:46:57,113 rpm,-214 rpm,62.8 rpm
2025-12-17 20:46:59,77 rpm,-162 rpm,47.5 rpm
2025-12-17 20:47:05,103 rpm,-177 rpm,38 rpm
2025-12-17 20:47:07,93.8 rpm,-165 rpm,37.8 rpm
2025-12-17 20:47:09,91 rpm,-164 rpm,35.3 rpm
2025-12-17 20:47:11,93.5 rpm,-171 rpm,37 rpm
2025-12-17 20:47:13,91.3 rpm,-174 rpm,39.3 rpm
2025-12-17 20:47:15,86 rpm,-176 rpm,32.5 rpm
2025-12-17 20:47:17,90.3 rpm,-181 rpm,44.5 rpm
2025-12-17 20:47:19,93.8 rpm,-176 rpm,33.8 rpm
2025-12-17 20:47:21,91.5 rpm,-176 rpm,32.8 rpm
2025-12-17 20:47:23,91 rpm,-178 rpm,32.5 rpm
2025-12-17 20:47:25,94.8 rpm,-178 rpm,40 rpm
2025-12-17 20:47:27,95.8 rpm,-179 rpm,42.3 rpm
2025-12-17 20:47:29,93 rpm,-178 rpm,39.8 rpm
2025-12-17 20:47:31,90.3 rpm,-180 rpm,32.3 rpm
2025-12-17 20:47:33,91.5 rpm,-183 rpm,29.3 rpm
2025-12-17 20:47:37,99.8 rpm,-186 rpm,38.5 rpm
2025-12-17 20:47:39,98 rpm,-182 rpm,41.3 rpm
2025-12-17 20:47:41,95.5 rpm,-185 rpm,40.3 rpm
