"Time","X","Y","Z"
2025-12-15 21:50:08,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 21:50:10,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 21:50:12,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 21:50:14,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 21:50:16,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 21:50:18,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 21:50:20,40.7 RPM/s,33.0 RPM/s,-100 RPM/s
2025-12-15 21:50:22,42.1 RPM/s,31.2 RPM/s,-100 RPM/s
2025-12-15 21:50:24,50.3 RPM/s,31.2 RPM/s,-100 RPM/s
2025-12-15 21:50:26,53.3 RPM/s,29.9 RPM/s,-100 RPM/s
2025-12-15 21:50:28,60.8 RPM/s,28.1 RPM/s,-100 RPM/s
2025-12-15 21:50:30,67.6 RPM/s,16.4 RPM/s,-100 RPM/s
2025-12-15 21:50:32,76.7 RPM/s,8.88 RPM/s,-100 RPM/s
2025-12-15 21:50:34,52.0 RPM/s,3.47 RPM/s,-54.0 RPM/s
2025-12-15 21:50:36,22.8 RPM/s,8.29 RPM/s,-3.88 RPM/s
2025-12-15 21:50:38,-4.34 RPM/s,7.20 RPM/s,-4.53 RPM/s
2025-12-15 21:50:40,-11.4 RPM/s,3.07 RPM/s,-1.87 RPM/s
2025-12-15 21:50:42,-15.9 RPM/s,0.426 RPM/s,5.52 RPM/s
2025-12-15 21:50:44,-10.9 RPM/s,4.63 RPM/s,10.2 RPM/s
2025-12-15 21:50:46,-15.0 RPM/s,-1.13 RPM/s,13.6 RPM/s
2025-12-15 21:50:48,-16.2 RPM/s,-2.73 RPM/s,14.5 RPM/s
2025-12-15 21:50:50,-16.3 RPM/s,-1.22 RPM/s,14.1 RPM/s
2025-12-15 21:50:52,-14.4 RPM/s,-2.12 RPM/s,12.3 RPM/s
2025-12-15 21:50:54,-11.1 RPM/s,-4.29 RPM/s,10.5 RPM/s
2025-12-15 21:50:56,-12.0 RPM/s,-3.73 RPM/s,7.97 RPM/s
2025-12-15 21:50:58,-5.76 RPM/s,-1.83 RPM/s,5.79 RPM/s
2025-12-15 21:51:02,-6.12 RPM/s,-3.44 RPM/s,2.53 RPM/s
2025-12-15 21:51:04,-1.49 RPM/s,-0.241 RPM/s,2.14 RPM/s
2025-12-15 21:51:08,-3.43 RPM/s,-0.739 RPM/s,2.33 RPM/s
2025-12-15 21:51:10,-0.548 RPM/s,-1.76 RPM/s,2.49 RPM/s
2025-12-15 21:51:12,0.143 RPM/s,-2.38 RPM/s,2.14 RPM/s
2025-12-15 21:51:14,-1.42 RPM/s,-2.07 RPM/s,2.45 RPM/s
2025-12-15 21:51:16,1.78 RPM/s,1.34 RPM/s,2.05 RPM/s
