"Time","X","Y","Z"
2025-12-15 21:50:08,-0.239 °/s,-0.254 °/s,4.65 °/s
2025-12-15 21:50:10,-0.247 °/s,-0.264 °/s,4.54 °/s
2025-12-15 21:50:12,-0.295 °/s,-0.256 °/s,4.42 °/s
2025-12-15 21:50:14,-0.296 °/s,-0.257 °/s,4.30 °/s
2025-12-15 21:50:16,-0.338 °/s,-0.267 °/s,4.16 °/s
2025-12-15 21:50:18,-0.348 °/s,-0.244 °/s,4.09 °/s
2025-12-15 21:50:20,-0.370 °/s,-0.250 °/s,4.03 °/s
2025-12-15 21:50:22,-0.287 °/s,-0.154 °/s,3.62 °/s
2025-12-15 21:50:24,-0.350 °/s,-0.120 °/s,3.61 °/s
2025-12-15 21:50:26,-0.324 °/s,-0.0729 °/s,3.56 °/s
2025-12-15 21:50:28,-0.359 °/s,-0.0260 °/s,3.37 °/s
2025-12-15 21:50:30,-0.370 °/s,0.149 °/s,3.34 °/s
2025-12-15 21:50:32,-0.411 °/s,0.257 °/s,0.951 °/s
2025-12-15 21:50:34,-0.0247 °/s,0.331 °/s,-3.38 °/s
2025-12-15 21:50:36,0.387 °/s,0.279 °/s,-6.78 °/s
2025-12-15 21:50:38,0.768 °/s,0.281 °/s,-6.28 °/s
2025-12-15 21:50:40,0.820 °/s,0.312 °/s,-5.94 °/s
2025-12-15 21:50:42,0.816 °/s,0.308 °/s,-5.89 °/s
2025-12-15 21:50:44,0.603 °/s,0.180 °/s,-5.46 °/s
2025-12-15 21:50:46,0.569 °/s,0.244 °/s,-4.85 °/s
2025-12-15 21:50:48,0.477 °/s,0.224 °/s,-4.01 °/s
2025-12-15 21:50:50,0.379 °/s,0.134 °/s,-3.14 °/s
2025-12-15 21:50:52,0.259 °/s,0.118 °/s,-2.30 °/s
2025-12-15 21:50:54,0.136 °/s,0.125 °/s,-1.61 °/s
2025-12-15 21:50:56,0.122 °/s,0.0818 °/s,-1.02 °/s
2025-12-15 21:50:58,-0.0234 °/s,0.0265 °/s,-0.589 °/s
2025-12-15 21:51:02,-0.00873 °/s,0.0408 °/s,-0.0872 °/s
2025-12-15 21:51:04,-0.103 °/s,-0.0296 °/s,-0.0330 °/s
2025-12-15 21:51:08,-0.0348 °/s,-0.0127 °/s,-0.0270 °/s
2025-12-15 21:51:10,-0.0855 °/s,0.0191 °/s,-0.0350 °/s
2025-12-15 21:51:12,-0.0786 °/s,0.0396 °/s,0.00398 °/s
2025-12-15 21:51:14,-0.0336 °/s,0.0255 °/s,-0.0278 °/s
2025-12-15 21:51:16,-0.0871 °/s,-0.0453 °/s,0.0205 °/s
2025-12-15 21:51:18,-0.0831 °/s,-0.0392 °/s,0.0229 °/s
2025-12-15 21:51:22,-0.0372 °/s,0.0175 °/s,0.0193 °/s
2025-12-15 21:51:26,-0.00873 °/s,0.0293 °/s,0.00823 °/s
2025-12-15 21:51:28,-0.0290 °/s,-0.0383 °/s,-0.0232 °/s
