"Time","q0","q1","q2","q3"
2025-12-15 22:30:06,0.981,0.0112,0.00840,0.193
2025-12-15 22:30:08,0.957,0.0175,0.0120,0.288
2025-12-15 22:30:10,0.924,0.0242,0.0152,0.381
2025-12-15 22:30:12,0.882,0.0310,0.0177,0.470
2025-12-15 22:30:14,0.832,0.0380,0.0200,0.553
2025-12-15 22:30:16,0.804,0.0414,0.0208,0.593
2025-12-15 22:30:18,0.774,0.0450,0.0216,0.631
2025-12-15 22:30:20,0.683,0.0554,0.0200,0.728
2025-12-15 22:30:22,0.616,0.0620,0.0180,0.785
2025-12-15 22:30:24,0.545,0.0688,0.0153,0.836
2025-12-15 22:30:26,0.469,0.0747,0.0119,0.880
2025-12-15 22:30:28,0.463,0.0763,0.00989,0.883
2025-12-15 22:30:30,0.558,0.0731,0.0141,0.827
2025-12-15 22:30:32,0.644,0.0671,0.0150,0.762
2025-12-15 22:30:34,0.728,0.0577,0.0162,0.682
2025-12-15 22:30:36,0.806,0.0455,0.0168,0.590
2025-12-15 22:30:38,0.870,0.0312,0.0189,0.491
2025-12-15 22:30:40,0.920,0.0183,0.0230,0.391
2025-12-15 22:30:42,0.954,0.00555,0.0277,0.297
2025-12-15 22:30:44,0.976,-0.00452,0.0299,0.214
2025-12-15 22:30:46,0.989,-0.0111,0.0295,0.144
2025-12-15 22:30:48,0.996,-0.0151,0.0260,0.0885
2025-12-15 22:30:50,0.999,-0.0171,0.0210,0.0476
2025-12-15 22:30:52,1.000,-0.0179,0.0159,0.0191
2025-12-15 22:30:54,1.000,-0.0173,0.0104,0.00135
2025-12-15 22:30:56,1.000,-0.0168,0.00674,-0.00854
2025-12-15 22:30:58,1.000,-0.0157,0.00360,-0.0134
2025-12-15 22:31:00,1.000,-0.0136,0.00136,-0.0154
2025-12-15 22:31:02,1.000,-0.0113,-0.000168,-0.0153
2025-12-15 22:31:04,1.000,-0.00837,-0.000749,-0.0154
2025-12-15 22:31:06,1.000,-0.00626,-0.000700,-0.0154
2025-12-15 22:31:08,1.000,-0.00409,-0.000710,-0.0157
2025-12-15 22:31:10,1.000,-0.00203,-0.000158,-0.0160
2025-12-15 22:31:12,1.000,-0.000391,-0.00000100,-0.0165
2025-12-15 22:31:14,1.000,0.00120,0.000724,-0.0157
2025-12-15 22:31:16,1.000,0.00295,0.00139,-0.0146
2025-12-15 22:31:18,1.000,0.00374,0.00160,-0.0140
2025-12-15 22:31:20,1.000,0.00410,0.00207,-0.0131
2025-12-15 22:31:22,1.000,0.00455,0.00242,-0.0123
2025-12-15 22:31:24,1.000,0.00467,0.00266,-0.0116
2025-12-15 22:31:26,1.000,0.00503,0.00257,-0.0109
2025-12-15 22:31:28,1.000,0.00556,0.00268,-0.0102
2025-12-15 22:31:30,1.000,0.00615,0.00246,-0.00953
2025-12-15 22:31:32,1.000,0.00620,0.00247,-0.00895
2025-12-15 22:31:34,1.000,0.00637,0.00260,-0.00818
2025-12-15 22:31:36,1.000,0.00652,0.00275,-0.00748
2025-12-15 22:31:38,1.000,0.00562,0.00306,-0.00668
2025-12-15 22:31:40,1.000,0.00448,0.00304,-0.00573
2025-12-15 22:31:42,1.000,0.00322,0.00307,-0.00474
2025-12-15 22:31:44,1.000,0.00214,0.00295,-0.00367
2025-12-15 22:31:50,1.000,0.000491,0.00276,-0.0000800
2025-12-15 22:31:52,1.000,0.000466,0.00292,0.00131
2025-12-15 22:31:54,1.000,0.000788,0.00271,0.00271
2025-12-15 22:31:56,1.000,0.000658,0.00260,0.00381
2025-12-15 22:31:58,1.000,0.000925,0.00249,0.00500
2025-12-15 22:32:00,1.000,0.00133,0.00278,0.00624
2025-12-15 22:32:02,1.000,0.00198,0.00261,0.00753
2025-12-15 22:32:06,1.000,0.00217,0.00280,0.00968
2025-12-15 22:32:10,1.000,0.00193,0.00296,0.0115
2025-12-15 22:32:12,1.000,0.00197,0.00314,0.0125
2025-12-15 22:32:14,1.000,0.000775,0.00314,0.0136
2025-12-15 22:32:16,1.000,0.000429,0.00314,0.0146
2025-12-15 22:32:20,1.000,0.00108,0.00335,0.0146
2025-12-15 22:32:22,1.000,0.00166,0.00355,0.0143
2025-12-15 22:32:26,1.000,0.00161,0.00333,0.0138
2025-12-15 22:32:28,1.000,0.00207,0.00333,0.0132
2025-12-15 22:32:30,1.000,0.00152,0.00330,0.0129
2025-12-15 22:32:32,1.000,0.00104,0.00335,0.0123
2025-12-15 22:32:36,1.000,0.00138,0.00334,0.0110
2025-12-15 22:32:38,1.000,0.00115,0.00347,0.0104
2025-12-15 22:32:40,1.000,0.00118,0.00341,0.00964
2025-12-15 22:32:42,1.000,0.00163,0.00347,0.00899
2025-12-15 22:32:44,1.000,0.00185,0.00331,0.00837
