"Time","X","Y","Z"
2025-12-15 22:30:06,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:08,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:10,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:12,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:14,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:16,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:18,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:20,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:22,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:24,0 rpm,0 rpm,0 rpm
2025-12-15 22:30:26,0 rpm,0 rpm,-10 rpm
2025-12-15 22:30:28,-33 rpm,0 rpm,-180 rpm
2025-12-15 22:30:30,-72.5 rpm,13.3 rpm,-368 rpm
2025-12-15 22:30:32,-104 rpm,-12.2 rpm,-331 rpm
2025-12-15 22:30:34,-125 rpm,-11 rpm,-350 rpm
2025-12-15 22:30:36,-128 rpm,-38.7 rpm,-353 rpm
2025-12-15 22:30:38,-116 rpm,-7.75 rpm,-348 rpm
2025-12-15 22:30:40,-102 rpm,-7.75 rpm,-334 rpm
2025-12-15 22:30:42,-85.5 rpm,-7.75 rpm,-315 rpm
2025-12-15 22:30:44,-67.2 rpm,-18.2 rpm,-291 rpm
2025-12-15 22:30:46,-44.5 rpm,-57.7 rpm,-266 rpm
2025-12-15 22:30:48,-29.2 rpm,-84.2 rpm,-242 rpm
2025-12-15 22:30:50,-18.5 rpm,-101 rpm,-218 rpm
2025-12-15 22:30:52,-13.7 rpm,-104 rpm,-198 rpm
2025-12-15 22:30:54,-12.5 rpm,-103 rpm,-181 rpm
2025-12-15 22:30:56,-8.25 rpm,-98.5 rpm,-169 rpm
2025-12-15 22:30:58,7.25 rpm,-92.5 rpm,-162 rpm
2025-12-15 22:31:00,5.50 rpm,-86.7 rpm,-157 rpm
2025-12-15 22:31:02,5.25 rpm,-82.7 rpm,-154 rpm
2025-12-15 22:31:04,10.3 rpm,-80 rpm,-154 rpm
2025-12-15 22:31:06,10 rpm,-77.2 rpm,-154 rpm
2025-12-15 22:31:08,9.75 rpm,-77.2 rpm,-154 rpm
2025-12-15 22:31:10,8.75 rpm,-77 rpm,-154 rpm
2025-12-15 22:31:12,7.25 rpm,-77.2 rpm,-154 rpm
2025-12-15 22:31:14,7 rpm,-78.5 rpm,-151 rpm
2025-12-15 22:31:16,6 rpm,-79.7 rpm,-151 rpm
2025-12-15 22:31:18,-4.75 rpm,-82.2 rpm,-151 rpm
2025-12-15 22:31:20,-5 rpm,-83.7 rpm,-151 rpm
2025-12-15 22:31:22,-5.50 rpm,-84.7 rpm,-151 rpm
2025-12-15 22:31:24,-14 rpm,-87.2 rpm,-151 rpm
2025-12-15 22:31:26,-14 rpm,-90 rpm,-151 rpm
2025-12-15 22:31:28,-5.75 rpm,-90 rpm,-151 rpm
2025-12-15 22:31:30,-10.5 rpm,-92.7 rpm,-151 rpm
2025-12-15 22:31:32,-13 rpm,-92.7 rpm,-151 rpm
2025-12-15 22:31:34,-16.2 rpm,-92.2 rpm,-151 rpm
2025-12-15 22:31:36,-19 rpm,-92.2 rpm,-151 rpm
2025-12-15 22:31:38,-23.2 rpm,-92.2 rpm,-151 rpm
2025-12-15 22:31:40,-25.2 rpm,-94.5 rpm,-151 rpm
2025-12-15 22:31:42,-25.2 rpm,-96.5 rpm,-151 rpm
2025-12-15 22:31:44,-25 rpm,-97.2 rpm,-151 rpm
2025-12-15 22:31:50,-22.7 rpm,-99.2 rpm,-151 rpm
2025-12-15 22:31:52,-22.5 rpm,-99.5 rpm,-151 rpm
2025-12-15 22:31:54,-22.7 rpm,-102 rpm,-151 rpm
2025-12-15 22:31:56,-22.7 rpm,-102 rpm,-151 rpm
2025-12-15 22:31:58,-22.7 rpm,-102 rpm,-151 rpm
2025-12-15 22:32:00,-22.7 rpm,-102 rpm,-151 rpm
2025-12-15 22:32:02,-22.7 rpm,-105 rpm,-151 rpm
2025-12-15 22:32:06,-26.5 rpm,-104 rpm,-151 rpm
