"Time","X","Y","Z"
2025-12-13 11:28:46,-0.211 °/s,0.00144 °/s,4.50 °/s
2025-12-13 11:28:49,-0.199 °/s,-0.00969 °/s,4.50 °/s
2025-12-13 11:28:51,-0.188 °/s,-0.00571 °/s,4.51 °/s
2025-12-13 11:28:53,-0.182 °/s,-0.0157 °/s,4.56 °/s
2025-12-13 11:29:01,-0.164 °/s,-0.0364 °/s,4.97 °/s
2025-12-13 11:29:04,-0.161 °/s,-0.0477 °/s,5.11 °/s
2025-12-13 11:29:04,-0.161 °/s,-0.0477 °/s,5.11 °/s
2025-12-13 11:29:05,-0.160 °/s,-0.0529 °/s,5.25 °/s
2025-12-13 11:29:05,-0.160 °/s,-0.0529 °/s,5.25 °/s
2025-12-13 11:29:11,-0.126 °/s,-0.0932 °/s,5.74 °/s
2025-12-13 11:29:13,-0.130 °/s,-0.0984 °/s,5.88 °/s
2025-12-13 11:29:15,-0.155 °/s,-0.0880 °/s,5.98 °/s
2025-12-13 11:29:19,-0.140 °/s,-0.137 °/s,6.16 °/s
2025-12-13 11:29:21,-0.140 °/s,-0.137 °/s,6.16 °/s
2025-12-13 11:29:24,-0.126 °/s,-0.171 °/s,5.68 °/s
2025-12-13 11:29:24,-0.126 °/s,-0.171 °/s,5.68 °/s
2025-12-13 11:29:26,-0.114 °/s,-0.130 °/s,5.90 °/s
2025-12-13 11:29:28,-0.0580 °/s,-0.128 °/s,5.94 °/s
2025-12-13 11:29:30,-0.0529 °/s,-0.129 °/s,5.62 °/s
2025-12-13 11:29:32,-0.247 °/s,-0.0948 °/s,5.57 °/s
2025-12-13 11:29:35,-0.241 °/s,-0.333 °/s,2.03 °/s
2025-12-13 11:29:35,-0.241 °/s,-0.333 °/s,2.03 °/s
2025-12-13 11:29:42,0.0111 °/s,-2.15 °/s,1.83 °/s
2025-12-13 11:29:44,0.140 °/s,-1.46 °/s,2.40 °/s
2025-12-13 11:29:46,-0.611 °/s,-1.08 °/s,2.13 °/s
2025-12-13 11:29:48,-2.25 °/s,-0.934 °/s,1.96 °/s
2025-12-13 11:29:50,-3.38 °/s,-1.04 °/s,2.14 °/s
2025-12-13 11:29:50,-3.38 °/s,-1.04 °/s,2.14 °/s
2025-12-13 11:29:52,-4.51 °/s,-1.25 °/s,2.03 °/s
2025-12-13 11:29:52,-4.51 °/s,-1.25 °/s,2.03 °/s
2025-12-13 11:29:54,-3.71 °/s,-1.52 °/s,1.93 °/s
2025-12-13 11:29:57,-2.43 °/s,-0.858 °/s,0.395 °/s
2025-12-13 11:29:59,-1.12 °/s,-0.545 °/s,0.664 °/s
2025-12-13 11:29:59,-1.12 °/s,-0.545 °/s,0.664 °/s
2025-12-13 11:30:01,0.337 °/s,-0.0105 °/s,-0.0626 °/s
2025-12-13 11:30:03,0.442 °/s,0.178 °/s,0.112 °/s
2025-12-13 11:30:06,0.255 °/s,0.249 °/s,0.373 °/s
2025-12-13 11:30:07,0.197 °/s,0.149 °/s,-0.175 °/s
2025-12-13 11:30:09,0.246 °/s,0.150 °/s,-0.302 °/s
2025-12-13 11:30:11,0.259 °/s,-0.0541 °/s,0.324 °/s
2025-12-13 11:30:13,0.241 °/s,0.0714 °/s,0.158 °/s
