"Time","q0","q1","q2","q3"
2025-12-15 09:31:02,0.990,-0.0288,0.0151,-0.135
2025-12-15 09:31:04,0.979,-0.0439,0.0203,-0.200
2025-12-15 09:31:06,0.963,-0.0593,0.0237,-0.263
2025-12-15 09:31:08,0.943,-0.0745,0.0256,-0.324
2025-12-15 09:31:10,0.919,-0.0901,0.0258,-0.382
2025-12-15 09:31:12,0.906,-0.0976,0.0253,-0.410
2025-12-15 09:31:14,0.893,-0.105,0.0245,-0.437
2025-12-15 09:31:20,0.790,-0.154,0.00464,-0.593
2025-12-15 09:31:22,0.757,-0.167,-0.00370,-0.632
2025-12-15 09:31:24,0.726,-0.168,-0.0282,-0.667
2025-12-15 09:31:30,0.792,-0.0718,-0.146,-0.588
2025-12-15 09:31:36,0.833,0.0214,-0.249,-0.494
2025-12-15 09:31:38,0.840,0.0238,-0.252,-0.480
2025-12-15 09:31:42,0.851,-0.0132,-0.251,-0.461
2025-12-15 09:31:44,0.859,-0.0395,-0.256,-0.442
2025-12-15 09:31:50,0.876,-0.112,-0.256,-0.393
2025-12-15 09:31:52,0.881,-0.134,-0.251,-0.378
2025-12-15 09:31:56,0.898,-0.143,-0.242,-0.339
2025-12-15 09:31:58,0.908,-0.109,-0.247,-0.322
2025-12-15 09:32:00,0.915,-0.0667,-0.253,-0.308
2025-12-15 09:32:02,0.926,-0.0387,-0.237,-0.291
2025-12-15 09:32:04,0.939,-0.0268,-0.196,-0.281
2025-12-15 09:32:06,0.945,-0.0376,-0.163,-0.281
2025-12-15 09:32:08,0.948,-0.0563,-0.151,-0.273
2025-12-15 09:32:10,0.952,-0.0755,-0.144,-0.259
2025-12-15 09:32:14,0.962,-0.0735,-0.142,-0.221
2025-12-15 09:32:16,0.967,-0.0413,-0.145,-0.204
2025-12-15 09:32:18,0.975,-0.0193,-0.133,-0.177
2025-12-15 09:32:20,0.985,-0.0151,-0.0990,-0.144
2025-12-15 09:32:22,0.992,-0.00978,-0.0610,-0.109
2025-12-15 09:32:26,0.999,0.00353,-0.0303,-0.0291
2025-12-15 09:32:28,1.000,-0.00506,-0.0207,0.00793
2025-12-15 09:32:32,0.999,-0.0362,-0.00164,0.0130
2025-12-15 09:32:36,0.998,-0.0540,0.0162,0.0221
2025-12-15 09:32:38,0.999,-0.0373,0.0256,0.0230
2025-12-15 09:32:40,0.999,-0.00979,0.0341,0.0143
2025-12-15 09:32:44,0.999,0.00721,0.0415,0.0230
2025-12-15 09:32:46,0.999,0.00558,0.0287,0.0150
2025-12-15 09:32:48,1.000,0.000886,0.0126,0.00794
2025-12-15 09:32:50,1.000,-0.00299,0.00260,0.000572
2025-12-15 09:32:52,1.000,-0.00300,-0.00153,-0.00339
2025-12-15 09:32:56,1.000,-0.000283,-0.00208,-0.000546
2025-12-15 09:32:58,1.000,0.0000870,-0.00121,-0.000658
2025-12-15 09:33:00,1,0.000536,-0.000259,-0.000388
2025-12-15 09:33:02,1,0.000698,0.000439,-0.0000230
2025-12-15 09:33:06,1.000,0.00125,0.00116,0.00129
2025-12-15 09:33:08,1.000,-0.00000400,0.000308,0.00234
2025-12-15 09:33:10,1.000,-0.00265,0.000807,0.000587
2025-12-15 09:33:12,1.000,-0.00118,0.000348,0.00140
2025-12-15 09:33:14,1.000,-0.000326,-0.00105,0.00224
2025-12-15 09:33:16,1.000,-0.000965,-0.000226,-0.00155
2025-12-15 09:33:18,1.000,-0.00125,-0.00000300,0.00214
2025-12-15 09:33:20,1.000,-0.000545,-0.000214,-0.00199
2025-12-15 09:33:22,1.000,0.00184,-0.000884,0.00159
2025-12-15 09:33:26,1.000,-0.000818,0.0000220,-0.00233
2025-12-15 09:33:28,1.000,-0.000283,-0.000334,-0.000932
2025-12-15 09:33:36,1.000,0.000169,0.000823,0.000903
2025-12-15 09:33:38,1.000,0.000865,0.00102,0.00225
2025-12-15 09:33:40,1.000,0.000822,0.000987,-0.00250
2025-12-15 09:33:46,0.390,0.620,-0.329,-0.596
2025-12-15 09:33:48,0.403,0.653,-0.279,-0.578
2025-12-15 09:33:50,0.419,0.696,-0.219,-0.541
2025-12-15 09:33:52,0.438,0.743,-0.152,-0.482
2025-12-15 09:33:58,0.497,0.787,0.112,-0.349
2025-12-15 09:34:02,0.587,0.677,0.299,-0.328
2025-12-15 09:34:06,0.689,0.505,0.411,-0.320
2025-12-15 09:34:08,0.727,0.423,0.423,-0.336
2025-12-15 09:34:10,0.774,0.364,0.392,-0.340
2025-12-15 09:34:12,0.816,0.322,0.335,-0.343
2025-12-15 09:34:16,0.864,0.300,0.217,-0.342
2025-12-15 09:34:20,0.887,0.311,0.159,-0.301
2025-12-15 09:34:22,0.904,0.298,0.147,-0.270
2025-12-15 09:34:36,1.000,0.0187,0.00118,0.00629
2025-12-15 09:34:38,1.000,0.00717,0.00213,0.0144
2025-12-15 09:34:40,1.000,0.00980,0.00191,-0.00179
2025-12-15 09:34:48,1.000,0.0254,0.00355,0.00547
