"Time","X","Y","Z"
2025-12-15 09:35:32,-47.7 rpm,-102 rpm,-67.5 rpm
2025-12-15 09:35:36,-47 rpm,-102 rpm,-65 rpm
2025-12-15 09:35:38,-52 rpm,-103 rpm,-62.2 rpm
2025-12-15 09:35:42,-46.2 rpm,-102 rpm,-61.5 rpm
2025-12-15 09:35:44,-48.7 rpm,-103 rpm,-59.7 rpm
2025-12-15 09:35:46,-49.2 rpm,-103 rpm,-59.7 rpm
2025-12-15 09:35:50,-54.5 rpm,-102 rpm,-59 rpm
2025-12-15 09:35:54,-47 rpm,-102 rpm,-55.7 rpm
2025-12-15 09:35:58,-52.7 rpm,-98.5 rpm,-53 rpm
2025-12-15 09:36:02,-53.2 rpm,-100 rpm,-54 rpm
2025-12-15 09:36:04,-59.2 rpm,-101 rpm,-50.7 rpm
2025-12-15 09:36:06,-58.2 rpm,-103 rpm,-50.7 rpm
2025-12-15 09:36:12,-52.2 rpm,-103 rpm,-45.5 rpm
2025-12-15 09:36:16,-308 rpm,-92.5 rpm,-143 rpm
2025-12-15 09:36:18,-480 rpm,31.5 rpm,-198 rpm
2025-12-15 09:36:20,-648 rpm,199 rpm,-224 rpm
2025-12-15 09:36:22,-769 rpm,390 rpm,-231 rpm
2025-12-15 09:36:24,-770 rpm,558 rpm,-197 rpm
2025-12-15 09:36:26,-695 rpm,724 rpm,-126 rpm
2025-12-15 09:36:32,-202 rpm,376 rpm,-15.7 rpm
2025-12-15 09:36:36,125 rpm,58.3 rpm,-27 rpm
2025-12-15 09:36:38,314 rpm,-149 rpm,-65.5 rpm
2025-12-15 09:36:40,250 rpm,-243 rpm,-111 rpm
2025-12-15 09:36:42,97.8 rpm,-109 rpm,-147 rpm
2025-12-15 09:36:48,103 rpm,328 rpm,-118 rpm
2025-12-15 09:36:50,291 rpm,238 rpm,-114 rpm
2025-12-15 09:36:58,478 rpm,543 rpm,-136 rpm
2025-12-15 09:37:02,586 rpm,756 rpm,-131 rpm
2025-12-15 09:37:06,583 rpm,736 rpm,-100 rpm
2025-12-15 09:37:08,443 rpm,641 rpm,-60.7 rpm
2025-12-15 09:37:12,146 rpm,334 rpm,-25.5 rpm
2025-12-15 09:37:16,101 rpm,74.5 rpm,-15.2 rpm
2025-12-15 09:37:20,19.3 rpm,58.8 rpm,-11 rpm
2025-12-15 09:37:22,36.3 rpm,43 rpm,-33.2 rpm
2025-12-15 09:37:26,114 rpm,45.5 rpm,-11.7 rpm
2025-12-15 09:37:28,143 rpm,58.8 rpm,-15.5 rpm
2025-12-15 09:37:30,120 rpm,71.5 rpm,-21.7 rpm
2025-12-15 09:37:34,84.3 rpm,69.3 rpm,-22.2 rpm
2025-12-15 09:37:36,78 rpm,64 rpm,-28.5 rpm
2025-12-15 09:37:44,63.5 rpm,68 rpm,-11.7 rpm
2025-12-15 09:37:46,68 rpm,72.5 rpm,-10.7 rpm
2025-12-15 09:37:48,81.8 rpm,56.8 rpm,-36.7 rpm
2025-12-15 09:37:50,81 rpm,57.3 rpm,-75 rpm
2025-12-15 09:37:52,83 rpm,42 rpm,-42.2 rpm
2025-12-15 09:37:54,74.3 rpm,43.8 rpm,-32 rpm
2025-12-15 09:38:00,68.5 rpm,60.8 rpm,-30.7 rpm
2025-12-15 09:38:02,69.8 rpm,60.8 rpm,-43 rpm
2025-12-15 09:38:04,69.8 rpm,60.5 rpm,-43 rpm
2025-12-15 09:38:06,69.8 rpm,61.5 rpm,-38 rpm
