"Time","X","Y","Z"
2025-12-15 09:31:02,-0.853 °/s,0.369 °/s,-3.84 °/s
2025-12-15 09:31:04,-0.875 °/s,0.268 °/s,-3.79 °/s
2025-12-15 09:31:06,-0.871 °/s,0.179 °/s,-3.71 °/s
2025-12-15 09:31:08,-0.850 °/s,0.0831 °/s,-3.65 °/s
2025-12-15 09:31:10,-0.854 °/s,-0.0161 °/s,-3.57 °/s
2025-12-15 09:31:12,-0.822 °/s,-0.0569 °/s,-3.53 °/s
2025-12-15 09:31:14,-0.825 °/s,-0.107 °/s,-3.48 °/s
2025-12-15 09:31:20,-0.638 °/s,-0.386 °/s,-2.88 °/s
2025-12-15 09:31:22,-0.591 °/s,-0.493 °/s,-3.03 °/s
2025-12-15 09:31:24,0.785 °/s,-0.788 °/s,-2.86 °/s
2025-12-15 09:31:30,4.24 °/s,-0.530 °/s,2.21 °/s
2025-12-15 09:31:36,1.33 °/s,-0.485 °/s,1.10 °/s
2025-12-15 09:31:38,0.115 °/s,0.133 °/s,0.646 °/s
2025-12-15 09:31:42,-0.894 °/s,-0.967 °/s,1.32 °/s
2025-12-15 09:31:44,-0.880 °/s,-0.785 °/s,1.36 °/s
2025-12-15 09:31:50,-0.982 °/s,-0.275 °/s,1.19 °/s
2025-12-15 09:31:52,-0.965 °/s,-0.266 °/s,1.40 °/s
2025-12-15 09:31:56,0.981 °/s,0.239 °/s,1.37 °/s
2025-12-15 09:31:58,2.40 °/s,0.424 °/s,0.479 °/s
2025-12-15 09:32:00,2.43 °/s,0.565 °/s,0.380 °/s
2025-12-15 09:32:02,1.11 °/s,1.73 °/s,0.831 °/s
2025-12-15 09:32:04,-0.319 °/s,2.49 °/s,0.776 °/s
2025-12-15 09:32:06,-1.13 °/s,1.31 °/s,-0.00967 °/s
2025-12-15 09:32:08,-1.17 °/s,0.0651 °/s,0.584 °/s
2025-12-15 09:32:10,-1.05 °/s,0.0372 °/s,1.01 °/s
2025-12-15 09:32:14,1.28 °/s,0.0183 °/s,0.987 °/s
2025-12-15 09:32:16,1.98 °/s,0.231 °/s,0.829 °/s
2025-12-15 09:32:18,1.06 °/s,1.18 °/s,1.77 °/s
2025-12-15 09:32:20,0.0360 °/s,2.24 °/s,2.39 °/s
2025-12-15 09:32:22,0.249 °/s,2.00 °/s,1.92 °/s
2025-12-15 09:32:26,0.149 °/s,0.397 °/s,2.73 °/s
2025-12-15 09:32:28,-0.819 °/s,0.616 °/s,1.39 °/s
2025-12-15 09:32:32,-0.914 °/s,0.514 °/s,1.17 °/s
2025-12-15 09:32:36,-0.0179 °/s,0.512 °/s,0.186 °/s
2025-12-15 09:32:38,1.38 °/s,0.515 °/s,0.0369 °/s
2025-12-15 09:32:40,1.50 °/s,0.459 °/s,-0.673 °/s
2025-12-15 09:32:44,0.182 °/s,-0.196 °/s,0.842 °/s
2025-12-15 09:32:46,-0.155 °/s,-0.895 °/s,-0.356 °/s
2025-12-15 09:32:48,-0.312 °/s,-0.932 °/s,-0.412 °/s
2025-12-15 09:32:50,-0.175 °/s,-0.443 °/s,-0.597 °/s
2025-12-15 09:32:52,0.0340 °/s,-0.132 °/s,-0.267 °/s
2025-12-15 09:32:56,0.0207 °/s,0.0287 °/s,-0.0190 °/s
2025-12-15 09:32:58,0.0264 °/s,0.0476 °/s,0.00961 °/s
2025-12-15 09:33:00,0.0306 °/s,0.0611 °/s,0.0289 °/s
2025-12-15 09:33:02,0.00664 °/s,0.0372 °/s,0.0269 °/s
2025-12-15 09:33:06,0.00758 °/s,0.0289 °/s,0.00107 °/s
