"Time","X","Y","Z"
2025-12-15 09:31:02,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 09:31:04,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 09:31:06,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 09:31:08,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 09:31:10,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 09:31:12,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 09:31:14,100 RPM/s,-100 RPM/s,100 RPM/s
2025-12-15 09:31:20,100 RPM/s,-73.9 RPM/s,100 RPM/s
2025-12-15 09:31:22,100 RPM/s,-50.2 RPM/s,100 RPM/s
2025-12-15 09:31:24,100 RPM/s,21.4 RPM/s,100 RPM/s
2025-12-15 09:31:30,-2.75 RPM/s,77.9 RPM/s,-27.1 RPM/s
2025-12-15 09:31:36,-100 RPM/s,100 RPM/s,-10.8 RPM/s
2025-12-15 09:31:38,-28.6 RPM/s,2.31 RPM/s,-0.951 RPM/s
2025-12-15 09:31:42,100 RPM/s,-10.0 RPM/s,6.11 RPM/s
2025-12-15 09:31:44,100 RPM/s,5.99 RPM/s,-4.18 RPM/s
2025-12-15 09:31:50,100 RPM/s,20.6 RPM/s,-3.26 RPM/s
2025-12-15 09:31:52,100 RPM/s,32.9 RPM/s,-1.46 RPM/s
2025-12-15 09:31:56,100 RPM/s,22.6 RPM/s,-17.7 RPM/s
2025-12-15 09:31:58,33.9 RPM/s,8.47 RPM/s,-13.7 RPM/s
2025-12-15 09:32:00,-100 RPM/s,77.4 RPM/s,-4.80 RPM/s
2025-12-15 09:32:02,-100 RPM/s,86.0 RPM/s,9.21 RPM/s
2025-12-15 09:32:04,-15.9 RPM/s,-82.1 RPM/s,1.21 RPM/s
2025-12-15 09:32:06,100 RPM/s,-100 RPM/s,24.5 RPM/s
2025-12-15 09:32:08,100 RPM/s,-55.6 RPM/s,11.7 RPM/s
2025-12-15 09:32:10,100 RPM/s,-27.5 RPM/s,-1.32 RPM/s
2025-12-15 09:32:14,97.6 RPM/s,21.4 RPM/s,-9.90 RPM/s
2025-12-15 09:32:16,-53.8 RPM/s,80.2 RPM/s,9.50 RPM/s
2025-12-15 09:32:18,-100 RPM/s,100 RPM/s,19.3 RPM/s
2025-12-15 09:32:20,1.95 RPM/s,-20.6 RPM/s,4.51 RPM/s
2025-12-15 09:32:22,36.1 RPM/s,-84.1 RPM/s,4.32 RPM/s
2025-12-15 09:32:26,-38.7 RPM/s,36.8 RPM/s,-11.6 RPM/s
2025-12-15 09:32:28,44.7 RPM/s,13.1 RPM/s,-50.9 RPM/s
2025-12-15 09:32:32,100 RPM/s,-28.7 RPM/s,-30.6 RPM/s
2025-12-15 09:32:36,100 RPM/s,-72.7 RPM/s,0.282 RPM/s
2025-12-15 09:32:38,23.5 RPM/s,-95.3 RPM/s,-6.89 RPM/s
2025-12-15 09:32:40,-87.9 RPM/s,-98.9 RPM/s,10.1 RPM/s
2025-12-15 09:32:44,-30.5 RPM/s,-72.3 RPM/s,-42.2 RPM/s
2025-12-15 09:32:46,-14.3 RPM/s,-8.30 RPM/s,-9.62 RPM/s
2025-12-15 09:32:48,7.49 RPM/s,40.8 RPM/s,-2.77 RPM/s
2025-12-15 09:32:50,20.9 RPM/s,33.2 RPM/s,12.1 RPM/s
2025-12-15 09:32:52,8.13 RPM/s,17.3 RPM/s,10.4 RPM/s
2025-12-15 09:32:56,-4.11 RPM/s,3.74 RPM/s,1.29 RPM/s
2025-12-15 09:32:58,-1.42 RPM/s,-0.185 RPM/s,0.952 RPM/s
2025-12-15 09:33:00,-2.60 RPM/s,-2.67 RPM/s,0.182 RPM/s
2025-12-15 09:33:02,-1.83 RPM/s,-3.11 RPM/s,-0.550 RPM/s
2025-12-15 09:33:06,-4.69 RPM/s,-2.71 RPM/s,-2.49 RPM/s
2025-12-15 09:33:08,4.71 RPM/s,4.70 RPM/s,-5.99 RPM/s
2025-12-15 09:33:10,20.1 RPM/s,-6.16 RPM/s,2.81 RPM/s
2025-12-15 09:33:12,-2.79 RPM/s,1.13 RPM/s,-6.04 RPM/s
2025-12-15 09:33:14,-5.68 RPM/s,11.0 RPM/s,-4.64 RPM/s
2025-12-15 09:33:16,7.46 RPM/s,-4.35 RPM/s,6.66 RPM/s
2025-12-15 09:33:18,4.24 RPM/s,0.756 RPM/s,-10.4 RPM/s
2025-12-15 09:33:20,-1.31 RPM/s,-1.04 RPM/s,10.6 RPM/s
2025-12-15 09:33:22,-17.7 RPM/s,8.83 RPM/s,-6.32 RPM/s
2025-12-15 09:33:26,8.57 RPM/s,-5.17 RPM/s,10.6 RPM/s
2025-12-15 09:33:28,-1.84 RPM/s,1.99 RPM/s,2.07 RPM/s
2025-12-15 09:33:36,-1.03 RPM/s,-4.39 RPM/s,1.82 RPM/s
2025-12-15 09:33:38,-6.39 RPM/s,-1.16 RPM/s,-5.53 RPM/s
2025-12-15 09:33:40,0.334 RPM/s,-3.61 RPM/s,10.3 RPM/s
2025-12-15 09:33:46,-100 RPM/s,100 RPM/s,62.2 RPM/s
2025-12-15 09:33:48,-100 RPM/s,100 RPM/s,53.1 RPM/s
2025-12-15 09:33:50,-100 RPM/s,100 RPM/s,10.6 RPM/s
2025-12-15 09:33:52,-100 RPM/s,33.8 RPM/s,12.4 RPM/s
2025-12-15 09:33:58,-100 RPM/s,-100 RPM/s,-12.2 RPM/s
2025-12-15 09:34:02,-53.5 RPM/s,-100 RPM/s,-19.6 RPM/s
2025-12-15 09:34:06,100 RPM/s,-100 RPM/s,-6.96 RPM/s
2025-12-15 09:34:08,100 RPM/s,-100 RPM/s,37.8 RPM/s
2025-12-15 09:34:10,100 RPM/s,-41.5 RPM/s,1.18 RPM/s
2025-12-15 09:34:12,100 RPM/s,31.2 RPM/s,-0.113 RPM/s
2025-12-15 09:34:16,-4.96 RPM/s,100 RPM/s,-0.154 RPM/s
2025-12-15 09:34:20,-100 RPM/s,15.3 RPM/s,-5.57 RPM/s
2025-12-15 09:34:22,-100 RPM/s,-27.0 RPM/s,-7.99 RPM/s
2025-12-15 09:34:36,61.8 RPM/s,18.2 RPM/s,-39.0 RPM/s
2025-12-15 09:34:38,32.4 RPM/s,-6.37 RPM/s,-28.7 RPM/s
2025-12-15 09:34:40,-32.1 RPM/s,-4.28 RPM/s,18.4 RPM/s
